question,answer
"1. What has been modified from NIST SP 800-37, Rev. 1, to NIST SP 800-37, Rev. 2, for the Categorize step?","Answer: The following modifications have been made from NIST SP 800-37, Revision 1 [SP 800-37r1], to NIST SP 800-37, Revision 2 [SP 800-37r2], in the Categorize step:
· The System Registration task was moved to the Prepare step (Task P-18) to allow organizations to announce the existence of the system to the organization, add the system to the organizational system inventory, and explicitly announce implications to the organization's security and privacy programs from the creation of the system.
· The Security Categorization Review and Approval (Task C-2) task was added to ensure that the authorizing official reviews and approves the security categorization results to confirm that the security category selected for the system is consistent with the mission and business functions of the organization and the need to adequately protect those missions and functions.
· Elements of privacy and roles for systems that process personally identifiable information were added to this publication as a direct response to OMB Circular A-130 [OMB A130], which requires agencies to implement the Risk Management Framework (RMF) and integrate privacy into the RMF process. In establishing requirements for information security programs and privacy programs, the OMB Circular emphasizes the need for both programs to collaborate on shared objectives. 「Back to Table of Contents]"
2. What is security categorization and why is it important?,"Answer: Security categorization provides a structured way to determine the criticality of the information being processed, stored, and transmitted by a system. The purpose of the Categorize step is to inform organizational risk management processes and tasks by determining the adverse impact of the loss of confidentiality, integrity, and availability of organizational systems and information to the organization. The categorization determination results in the security category for the system, which is based on the potential adverse impact (worst case) to an organization should events occur that jeopardize the information and systems needed by the organization to accomplish its assigned mission, protect its assets and individuals, fulfill its legal responsibilities, and maintain its day- to-day functions. Before a security categorization decision can be made, the identification of the types of information that are or will be processed, stored, and transmitted by the system needs to be performed in the Prepare step (Task P-12, Information Types). Similarly, in addition to identifying the information types, each stage in the information life cycle for each type identified also needs to be identified and understood. This is also addressed in the Prepare step (Task P-13, Information Life Cycle).
The information owner or system owner identifies the types of information processed, stored, and transmitted by the system as part of Prepare step Task P-12 and assigns a security impact value (low, moderate, high) for the security objectives of confidentiality, integrity, or availability to each information type as part of Categorize step Task C-2. The high watermark concept is used to determine the security impact level of the system for the express purpose of prioritizing information security efforts among systems and selecting an initial set of controls from one of the three control baselines in NIST SP 800-53B [SP 800-53B]. According to the Federal Information Processing Standard (FIPS) Publication 199, Standards for Security Categorization for Federal Information and Information Systems [FIPS 199], security categorization promotes effective management and oversight of information security programs, including the coordination of information security efforts across the Federal Government, and reporting on the adequacy and effectiveness of information security policies, procedures, and practices. [Back to Table of Contents]"
3. How is the categorization decision used?,"Answer: The categorization decision is used to support the next step in the Risk Management Framework: the Select step. It informs all subsequent risk management decisions regarding the security of the system. This includes baseline and control selection and documentation level of effort, implementation details, assessment level of effort, authorization decisions, continuous monitoring frequencies and level of effort, checks and balances for the initial risk assessment, and ongoing risk assessment. Once the overall security impact level of the system is determined (i.e., after the system is categorized), an initial set of controls is selected from the corresponding low, moderate, or high baselines in NIST SP 800-53B [SP 800-53B]. Organizations have the flexibility to adjust the control baselines following the tailoring guidance defined in NIST SP 800-53B [SP 800-53B] (i.e., applying scoping guidance, using compensating controls, specifying organization-defined parameters, and using supplemental controls). The security category and system security impact level are also used to determine the level of detail to include in security documentation, such as plans, procedures, and the level of effort needed to assess the system. [Back to Table of Contents]"
4. Who is responsible for categorizing each system?,"Answer: Ultimately, the information owner/system owner or an individual designated by the owner is responsible for categorizing a system. The information owner/system owner identifies all the information types stored in, processed by, or transmitted by the system as part of Prepare step Task P-12 and then determines the security category for the system by identifying the highest value (i.e., high water mark) for each security objective (confidentiality, integrity, and availability) and for each type ofinformation resident on the system as part of Categorize step Task C-2. Subject matter experts may also be tapped by the information owner/system owner to assist with the system security categorization efforts. For systems that process personally identifiable information, the senior agency official for privacy reviews and approves the security categorization results and decision prior to the authorizing official's review.
While the primary responsibility for categorization belongs to information owner/system owner, security categorizations are conducted as an organization-wide activity with the involvement of senior leadership (e.g., risk executive [function]) and system staff
(e.g., system security officer and system privacy officer when PII is being processed). The authorizing official or designated representative reviews the categorization results and decisions from other organizational systems and then collaborates with senior leaders to ensure that the categorization decision for the system is consistent with the organizational risk management strategy and satisfies requirements for high-value assets. Senior leadership participation in the security categorization process is essential so that the Risk Management Framework can be carried out in an effective and consistent manner throughout the organization. The authorizing official or designated representative reviews the categorization results and decision from an organization-wide perspective, including how the decision aligns with categorization decisions for all other organizational systems. Back to Table of Contents]"
5. What is the role of privacy in the categorization process?,"Answer: Privacy programs are responsible for managing the risks to individuals associated with the processing of personally identifiable information (PII) and for ensuring compliance with applicable privacy requirements. When a system processes PII, the information security program and the privacy program have a shared responsibility for managing the security risks for the PII in the system. Informed by the privacy risk assessment conducted under the Prepare step (Task P-14, Risk Assessment - System), the privacy program and the security program collaborate on determining the security category and overall security impact level for the system. The senior agency official for privacy reviews and approves the security categorization results and decision prior to the authorizing official's review."
6. What is the relationship between categorization and the organization's enterprise architecture?,"Answer: The information types enumerated in NIST SP 800-60, Volume II [SP 800-60v2], are based on OMB's Business Reference Model (BRM) [OMB BRM], as described in the Federal Enterprise Architecture Consolidated Reference Model Document. The BRM provides a framework that facilitates a functional (rather than organizational) view of the Federal Government's lines of business, including its internal operations and its services for citizens, independent of the organizations performing them. [Back to Table of Contents]"
7. What is the role of the risk executive (function) in the categorization process?,"Answer: The risk executive (function) may not necessarily be the responsibility of a single person. It could be the responsibility of a group, committee, or any entity as defined by the organization. This function helps ensure that information security considerations for individual systems are viewed from an organization-wide perspective with regard to the overall strategic goals and objectives of the organization in carrying out its mission and business processes.
During the categorization process, the risk executive (function) provides the senior leadership with input and oversight to help ensure that consistent categorization decisions are made for individual systems across the organization. The risk executive (function) facilitates the sharing of security-related and risk-related information among senior leaders to help ensure that all types of risk that may affect mission and business success and the overall interests of the organization at large are considered. Back to Table of Contents]"
8. During which phase of the system development life cycle is a new system categorized?,"Answer: The initial security categorization for the information and the system is performed during the initiation phase of the system development life cycle along with an initial security risk assessment. The initial risk assessment defines the threat environment in which the system operates and includes an initial description of the basic security needs of the system. These needs are contingent upon an understanding of how a possible loss of confidentiality, integrity, or availability ofinformation of a system component can impact the organization and the resulting security categorization. For more details on security categorization, see Federal Information
Processing Standard (FIPS) Publication 199, Standards for Security Categorization of Federal Information and Information Systems. FIPS 199]
Once the system is operational, the organization revisits the risk management activities described in the Risk Management Framework, including the system categorization, on a regular basis. Additionally, events can trigger an immediate need to assess the security state of the system. If a security event occurs, the organization may reexamine the security category and impact level of the system to confirm the criticality of the system in supporting its mission operations or business case. The resulting impact on organizational operations and assets, individuals, other organizations, or the Nation may provide new insights regarding the overall importance of the system in assisting the organization to fulfill its mission responsibilities. Back to Table of Contents"
9. How does the use of external system services impact system categorization?,"Answer: The security categorization process assists a system or organization in assessing the impact of the loss of information confidentiality, integrity, or availability and helps define the necessary protection (controls) to reduce the likelihood of such losses. The organization then proceeds to the subsequent steps in the RMF until the system is authorized and continuously monitored. However, when using external system services (i.e., services that are implemented outside of the system's authorization boundary and are not part of the organization's systems), the organization typically has no direct control over the application of required controls or the assessment of control effectiveness. The growing dependence on external service providers and new relationships being forged with those providers present new and difficult challenges for the organization, especially in the area of system security. These challenges include (i) defining the types of external services provided to the organization, (ii) describing how the external services are protected in accordance with the security and privacy requirements of the organization, and (iii) obtaining the necessary assurances that the risk to the organization's operations and assets and to individuals arising from the use of the external services is at an acceptable level. For example, the security categorization of cloud-based services that are identified and provided as part of their Federal Risk and Authorization Management Program (FedRAMP) [FedRAMP] authorization is reviewed along with the potential impacts, if any, to the organization utilizing these external system services. [Back to Table of Contents"
10. How does the categorization decision affect external system services?,"Answer: Categorizing external systems and the organizational information processed, stored, and transmitted by external system services provides the necessary information to determine the security and privacy requirements that the service provider is required to meet and the evidence that they are required to provide to achieve assurance that the external services are operating at an acceptable security level. For example, if a system is categorized as a high impact system, and if the external system is categorized as a moderate impact system, then the organization needs to understand what the security implications are regarding the utilization of the external system services/resources. Thus, the security categorization of the organization acquiring external system services may influence or determine requirements for utilizing such services.
The level of control over an external system is usually established by the terms and conditions of the contract or service-level agreement with the external service provider and can range from extensive (e.g., negotiating a contract or agreement that specifies detailed control requirements for the provider) to very limited (e.g., using a contract or service-level agreement to obtain commodity services). In other cases, a level of trust in the external system service is derived from other factors that convince the authorizing official that the requisite controls have been employed and that a credible determination of control effectiveness exists in the external system.
Authorizing officials require that an appropriate chain of trust be established with external service providers when dealing with the many issues associated with system security. For services external to the organization, a chain of trust requires that the organization establish and retain a level of confidence that each participating service provider in the potentially complex consumer-provider relationship provides adequate protection for the services rendered to the organization. Depending on the nature of the service, it may simply be unwise for the organization to wholly trust the provider - not due to any inherent untrustworthiness on the provider's part,
but due to the intrinsic level of risk in the service. Where a sufficient level of trust cannot be established in the external services or service providers, the organization employs compensating controls or usage restrictions or accepts the greater degree of risk to its operations, assets, and individuals. 「Back to Table of Contents]"
