question,answer
Q1. What is new in Windows Server 2012?,"Answer: Windows Server 2012 brings our company's experience building and operating public clouds to the server platform for private clouds. The new licensing and packaging makes it easier to manage workloads in highly virtualized public and private cloud environments. Windows Server 2012 will move to a consistent licensing model and will have common features enabling the reduction of editions. These include
· Two editions, Standard and Datacenter. · Single licenses that cover up to two physical processors. · Editions differentiated by virtualization rights only (two for Standard; unlimited for Datacenter)."
Q2. What is the difference between Windows Server 2012 Standard edition and Windows Server 2012 Datacenter edition?,Answer: Both Standard and Datacenter editions provide the same set of features; the only thing that differentiates the editions is the number of Virtual Machines (VMs). A Standard edition license will entitle you to run up to two VMs on up to two processors (subject to the VM use rights outlined in the Product Use Rights document). A Datacenter edition license will entitle you to run an unlimited number of VMs on up to two processors.
Q3. Will Windows Server 2012 Standard edition have all of the same features as Windows Server 2012 Datacenter edition?,"Answer: Yes. All features that are available in the Datacenter edition are also available in the Standard edition, including high availability features like failover clustering. The only difference between the two editions will be virtualization rights."
Q4. Is Windows Server 2012 aligning to the System Center 2012 and Enrollment for Core Infrastructure (ECI) model?,"Answer: Yes. As part of the alignment with the Microsoft private cloud licensing model, Windows Server 2012 and System Center 2012, as well as Enrollment for Core Infrastructure (ECI), will have the same licensing and packaging structure. These include
· Two editions, Standard and Datacenter. · Single licenses that cover up to two physical processors. · Editions differentiated by virtualization rights only (two for Standard; unlimited for Datacenter).
Client Access Licenses (CALs) will continue to be required for access to Windows Server 2012 servers."
Q5. What are some of the features now available in Windows Server 2012 Standard that were previously only available in Windows Server 2008 R2 Enterprise and Datacenter editions?,"Answer: There are a variety of new features in Windows Server 2012 Standard edition. Here are just a few examples of what was previously only available in the premium editions:
· Windows Server Failover Clustering · BranchCache Hosted Cache Server · Active Directory Federated Services · Additional Active Directory Certificate Services capabilities · Distributed File Services (support for more than 1 DFS root) · DFS-R Cross-File Replication"
Q6. How do I determine which Windows Server 2012 edition is right for me?,"Answer: Since there is feature parity between Windows Server 2012 Standard and Datacenter editions, your decision will be based solely on your virtualization strategy as virtualization rights become the only differentiator between editions. If your strategy calls for a highly virtualized environment, Datacenter edition will provide you with optimum flexibility since it allows for unlimited virtualization. If you do not plan on a highly virtualized environment at this time, Standard edition is the right product for your needs. If you purchase Standard edition today but find that you need more capacity in the future you will have two options to expand the virtualization capacity of your licensed server:
1. Purchase additional Standard edition licenses and assign them to the same physical server giving you the rights to run additional instances of Windows Server, or 2. If you have Software Assurance on your Standard license you can purchase a Software Assurance Step-Up and migrate to a Datacenter edition license on that server
If you are running a highly virtualized environment, management may also be a need for you. You should consider purchasing System Center 2012 with Windows Server 2012 together in the Core Infrastructure Suite, which is available inside or outside of an Enrollment for Core Infrastructure (ECI) agreement."
"Q7. If I have a Windows Server 2012 Standard edition license, how can I increase my virtualization rights?","Answer: With the Windows Server 2012 Standard edition licensing model, you can grow your virtualization environment by either stepping up your license to Datacenter edition if you have Software Assurance, or by simply buying additional Standard edition licenses and assigning them to the same physical server. For example, if you have a 2-processor server and want to run a total of 4 VMs, you can purchase two Standard edition licenses and assign them to the same server. Additional examples are shown in the table below.

The information outlines the relationship between the number of Standard edition licenses on a single server and the total number of virtual machines (VMs) that can be operated. With one license, a server can run two VMs. Increasing the licenses to two allows for four VMs. Similarly, three licenses enable the operation of six VMs, and four licenses permit eight VMs. This pattern indicates that each additional license allows for two more VMs, demonstrating a linear relationship between the number of licenses and the total VMs supported."
Q8. Why is Windows Server 2012 licensing moving to a processor model?,"Answer: By making this change, Windows Server 2012, System Center 2012 and the Core Infrastructure Server (CIS) will all have consistent licensing model creating alignment across Microsoft infrastructure products. Having a single-licensing model will make it easier for you to buy the right product for your needs and to compare the cost of alternatives (such as individual products, the CIS SKU outside of ECI, ECI and SO on). Additionally, the new licensing model provides a single, familiar, and easy-to-track metric for all infrastructure products further reducing management overhead."
Q9. How do I calculate the number of licenses I need for a server?,"Answer: The number of licenses you will need depends on the number of physical processors on the server and the number of server instances that you will be running. (This only applies for Standard edition because Datacenter edition allows for unlimited VMs.) The larger of these two numbers determines the number of total licenses required.
Determining the number of physical processor licenses
Each license covers up to two physical processors, SO to determine the number of licenses needed to fully license a physical server, simply count the number of physical processors in the server, divide that number by two and that tells you the number of licenses that will be needed.
Here are some examples:
· You have a 2-processor server. 2 physical processors / 2 (number of processors covered by a license) equals 1. You will need one license to cover a 2-processor server.
· You have a 4-processor server. 4 physical processors / 2 (number of processors covered by a license) equals 2. You will need two licenses to cover a 4-processor server.
· You have an 8-processor server. 8 physical processors / 2 (number of processors covered by a license) equals 4. You will need four licenses to cover an 8-processor server.
Determining the number of virtual instances running
If you want to run additional VMs but do not require the highly virtualized environment that Datacenter provides (which is unlimited VMs), then you can simply purchase additional Standard edition licenses and assign them to a single physical server to increase your VM entitlements on that server. Each Standard edition license provides you with the rights to run up to two VMs, so to determine the number of Windows Server Standard edition licenses you need, count the total number of total VMs that you will run on the server; divide that number by two, and round up to the nearest whole number.
For example, if you assign 2 Standard edition licenses to a single server, you will be able to run a total of 4 VMs on that server. If you add additional Standard edition licenses to that server the number of allowed VMs on that particular server will increase by two for a total of six VMs on that server.
Once the number of licenses needed to cover a physical processor and/or additional VMs is determined, the higher of those two numbers represents the total number of licenses required.
For example, if you are running 4 virtual machines on a 2-processor server, you will require 1 license to cover the 2 processors; but you will need an additional license to run 4 virtual machines, which means you will need a total of 2 licenses."
Q10. Can I use one Standard license to cover a 1-processor server?,Answer: Yes. The Standard edition license will allow you to license up to two physical processors on a single server; however it does not require that the server has two physical processors.
